Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
HNS Container Networking - ICS DNS (TCP-In) - 28E83E68-20E0-4848-949E-402B1CFAC81E - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 2C81B4F9-E216-4B75-B0E9-4EE2BADC3A06 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 302AE095-E8E4-4383-821A-304B2CED1A0E - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 31C7F5A3-1078-4BC1-BBC3-1CA92E5756F0 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 400CA61E-3DD1-481B-B055-457F75276DAE - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 432B628C-2E81-40C7-A4FD-CB8CF39D2E46 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 4B11F4EC-2E7D-479C-85D3-4D3FB77CE9A3 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 54B288F6-D8B6-4360-A42D-47FD2B5F9AD9 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 55CAF969-704A-4CAE-963D-4F32666B15E4 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 5BBCD7AF-592E-4E92-B6F3-0E925502E153 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 5D7AF422-B0FD-49C8-8905-E2B8C327ABAE - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 668C2892-E438-49ED-B4D0-433C46D4A7EF - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 67A72265-CF47-47F7-8858-2E27D746BF75 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 6B2F8696-25A7-4742-AEC3-4691D5C79D3D - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 76F9C958-D0E2-4BAE-B5F3-3F403A691645 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 7E76FEBD-CBE5-4D1E-8FE7-5E1F1FC34731 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 84E94041-DB1F-4168-8DC1-A7F9D3A9068E - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 86459360-BB9F-46AD-BB9C-D9B7429D04EC - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 90BA9BF4-F2F3-4165-804C-3EC307B57981 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 9423D32E-2D22-4F65-BA54-885835E5B908 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - 9D5BF48F-A5B2-4BBE-8420-8C5C306B1FAE - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - A4CE4FCF-EB90-4440-8F2C-079CDB37F3C0 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - A6F53A85-C0BF-4212-AF39-DBD64F1BF206 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - ABD408E9-BA51-4865-B051-3A691B263E7C - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - AE474C24-B88E-4F8A-8CB7-577E48992E87 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - AF4F5972-151F-4477-9428-7A8711748B59 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - B106DBF1-31BB-4E4E-930C-930DECB17935 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - BDDC7D83-8F5A-494A-B23D-FE7F1CF732B0 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - C0783409-1870-4446-8C6C-A9DEF6297CB6 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - C8C95998-7E79-4A2F-9619-792DA36E4A15 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - C95766F4-E932-42DA-A304-077EA0B163A8 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - D450E576-2476-4F84-AB10-9E84D9A3058E - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - DA0CE115-A58D-4446-ACF1-B8EC3405F970 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - DE9139E4-B8BB-490E-9C18-8695738B9DCB - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - E4CF4259-B29C-4C18-B969-BA95A049037A - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - ECA005C2-5BE8-47E4-81D3-191A05D7C5DB - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - ED04A6B8-2DA6-41B1-8CE6-EF35DB483366 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - F11062BE-D5DB-4C54-91F1-32FFE9CA8A58 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - F7462E05-AC7B-4E06-BE5D-E75EA6295607 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
HNS Container Networking - ICS DNS (TCP-In) - FB4E4211-EA24-4A38-84A9-A4169CFB5985 - 0		All	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	53	Any	Any	Any	Any	Any	None	Any	
Logi Options+ Agent		All	Yes	Allow	No	C:\Program Files\LogiOptionsPlus\logivoice\logioptionsplus_logivoice	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Logi Options+ Agent		All	Yes	Allow	No	C:\Program Files\LogiOptionsPlus\logivoice\logioptionsplus_logivoice	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Logi Options+ Agent		All	Yes	Allow	No	C:\Program Files\LogiOptionsPlus\logioptionsplus_agent.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Logi Options+ Agent		All	Yes	Allow	No	C:\Program Files\LogiOptionsPlus\logivoice\logioptionsplus_logivoice	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Logi Options+ Agent		All	Yes	Allow	No	C:\Program Files\LogiOptionsPlus\logioptionsplus_agent.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Logi Options+ Agent		All	Yes	Allow	No	C:\Program Files\LogiOptionsPlus\logioptionsplus_agent.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Logi Plugin Service		All	Yes	Allow	No	C:\Program Files\Logi\LogiPluginService\LogiPluginService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Edge		Private, Public	Yes	Block	No	C:\program files (x86)\microsoft\edge\application\msedge.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Edge		Private, Public	Yes	Block	No	C:\program files (x86)\microsoft\edge\application\msedge.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Office Outlook		Private, Public	Yes	Allow	No	C:\Program Files\Microsoft Office\root\Office16\outlook.exe	Any	Any	UDP	6004	Any	Any	Any	Any	Any	None	Any	
